model,fold,MAE_USD,MdAPE_%,RMSE_log
ElasticNet,0,13251.119330904217,6.185930976304391,0.09978886771851528
ElasticNet,1,14457.676321409324,5.880460186107368,0.12258550863368753
ElasticNet,2,16075.974630725334,7.374623555616777,0.1448183966782815
ElasticNet,3,16689.643404350845,6.460838280316447,0.13916426802929735
ElasticNet,4,13937.668896534304,6.021098517955624,0.11024957300871818
ElasticNet,5,18212.20119873702,6.581174648741642,0.12250275807763722
ElasticNet,6,17792.654220697783,7.534441740491392,0.12504128520103322
ElasticNet,7,13813.217702416745,5.711407578489524,0.09634265398961743
ElasticNet,8,17141.5825897935,6.311082772333979,0.1516421909120407
ElasticNet,9,25007.358382860333,5.898914041060712,0.2349603923539004
ExtraTrees,0,13851.362395385793,6.215464800363005,0.10707057606643876
ExtraTrees,1,15001.949454822015,6.075203820125634,0.13226023350830382
ExtraTrees,2,15836.383494645746,5.507104993863902,0.1497501891666205
ExtraTrees,3,16557.644809577323,6.116269784804866,0.1526500869263909
ExtraTrees,4,13903.339841335463,5.343913572176525,0.10702973060431431
ExtraTrees,5,19092.172486665142,6.515671669838842,0.13779513212514338
ExtraTrees,6,17919.810528975235,6.547073340497558,0.12629747300909935
ExtraTrees,7,13944.23808615256,5.512613426477414,0.10173091307382216
ExtraTrees,8,17349.782068973196,6.589354349372213,0.13763310257100056
ExtraTrees,9,17410.171061339468,6.0728722410939024,0.16305222028884322
RandomForest,0,13845.123071417263,6.089424055090551,0.10549151346729015
RandomForest,1,14855.469678516749,6.28629368951477,0.13556905440069483
RandomForest,2,17538.16840361874,6.100394151589413,0.15876275167895826
RandomForest,3,17627.03055309547,5.922615593023,0.1545187772302484
RandomForest,4,13515.91215871714,4.5646121881609565,0.10435343385482397
RandomForest,5,18116.715358526963,6.28245626134304,0.12993221931595064
RandomForest,6,17328.932186511087,6.265834212251961,0.13105379392770938
RandomForest,7,14635.981813549686,5.136218549963102,0.10185810025654238
RandomForest,8,17149.54256866799,6.123748337699022,0.13972485021824715
RandomForest,9,17672.898328385476,5.83623364283762,0.16988876092738386
Ridge,0,13096.188843849615,5.830480927481473,0.10032089628479658
Ridge,1,14860.049683782489,6.438709791742762,0.12620351452222917
Ridge,2,15649.971621257566,6.698619148687684,0.14426000663082048
Ridge,3,16400.237112992272,6.359400712962056,0.1389897592606614
Ridge,4,13847.375985201777,6.171915645102483,0.10937668450821397
Ridge,5,18119.32135215102,7.354933949368318,0.11996274521709287
Ridge,6,17425.14793823909,6.687745400924107,0.122603585136914
Ridge,7,14245.701918880339,6.055579320241114,0.09883583961239384
Ridge,8,17252.656231632584,6.48990520081254,0.15240928348921592
Ridge,9,25016.4181756895,5.9251391572737795,0.2375493062188974
